"file","publicationDate","reason","evidence"
"alouette-jeux-concours-cadeaux-radio-2026.mdx","2026-03-06","aucune date de fin explicite",""
"alsa-jeu-concours-yaourt-maison-cartes-cadeaux-100-euros-2026.mdx","2026-04-07","aucune date de fin explicite",""
"aubert-jeux-concours-puericulture-bebe-cybex-chicco-sauthon.mdx","2026-03-03","aucune date de fin explicite",""
"auchan-jeu-25-jours-2025-lots-cinema-cartes-cadeaux-concerts-2026.mdx","2026-04-15","aucune date de fin explicite",""
"brasero-jeu-concours-gagner-brasero-2026.mdx","2026-03-12","aucune date de fin explicite",""
"carrefour-jeu-concours-traiteur-2026.mdx","2026-03-13","aucune date de fin explicite",""
"concours-50-places-asterix-mission-potions-2026.mdx","2026-03-12","aucune date de fin explicite",""
"concours-avene-xeracalm-routine-apaisante-10-lots-2026.mdx","2026-04-02","aucune date de fin explicite",""
"concours-bioderma-jeu-roue-sebium-produits-gagner-2026.mdx","2026-04-07","aucune date de fin explicite",""
"concours-blissim-nuxe-quiz-3-box-collector-a-gagner.mdx","2026-04-06","aucune date de fin explicite",""
"concours-cacolac-asterix-parc-sejour-virtual-room-septembre-2026.mdx","2026-04-28","aucune date de fin explicite",""
"concours-catit-pixi-bac-litiere-go-natural-cosses-pois-2026.mdx","2026-04-02","aucune date de fin explicite",""
"concours-comptoir-de-la-mer-tirage-mensuel-sacs-armor-lux-tbs-2026.mdx","2026-05-12","aucune date de fin explicite",""
"concours-cosmopolitan-atelier-amaya-bijoux-150-euros-fete-meres-mai-2026.mdx","2026-05-11","aucune date de fin explicite",""
"concours-cosmopolitan-in-haircare-routine-pousse-cheveux-juillet-2026.mdx","2026-06-29","aucune date de fin explicite",""
"concours-coupon-network-grande-loterie-paques-1000-euros-a-gagner.mdx","2026-04-06","aucune date de fin explicite",""
"concours-croustibat-findus-ile-secrete-voyage-parcs-aquatiques-2026.mdx","2026-04-20","plusieurs dates de fin contradictoires","2026-07-30: jusqu'au 30 juillet 2026 | Jusqu'au 30 juillet 2026 || 2026-08-07: Jusqu'au 7 août 2026"
"concours-cuisine-actuelle-mars-2026.mdx","2026-03-03","plusieurs dates de fin contradictoires","2026-03-24: Clôture : 24 mars 2026 || 2026-03-03: Clôture : 3 mars 2026"
"concours-daddy-coffrets-pots-confiture-personnaliser-2026.mdx","2026-04-03","aucune date de fin explicite",""
"concours-damart-grand-jeu-fete-des-mamans-instant-gagnant-cartes-cadeaux-200-euros-mai-2026.mdx","2026-05-15","aucune date de fin explicite",""
"concours-damart-loterie-3900-10000-euros-diamant-voyage-2026.mdx","2026-07-18","plusieurs dates de fin contradictoires","2026-07-21: jusqu'au 21/07/2026 || 2026-08-31: jusqu'au 31/08/2026"
"concours-danette-tour-de-france-2026-jackpot-journees-vip-velos-decathlon-mai-2026.mdx","2026-05-15","aucune date de fin explicite",""
"concours-douce-france-toujours-a-vos-cotes-videoprojecteur-licence-sport-2026.mdx","2026-03-28","aucune date de fin explicite",""
"concours-dr-oetker-ristorante-a-toi-de-marquer-2026-5-airfryer-200-kits-ete-pizza.mdx","2026-06-02","aucune date de fin explicite",""
"concours-dr-schar-marmiton-coeliaque-machine-a-pain-bons-achat-mai-2026.mdx","2026-05-17","aucune date de fin explicite",""
"concours-duval-apero-cocorico-2026-6-verres-ballon-instants-gagnants.mdx","2026-06-02","aucune date de fin explicite",""
"concours-envie-de-plus-jeux-loteries-procter-gamble-obligation-achat-mai-2026.mdx","2026-05-10","aucune date de fin explicite",""
"concours-eyguebelle-la-vie-est-belle-roue-100-pourcent-gagnant-mai-septembre-2026.mdx","2026-05-04","aucune date de fin explicite",""
"concours-familiscope-futuroscope-juin-2026-14-lots-4-places.mdx","2026-06-01","plusieurs dates de fin contradictoires","2026-06-30: Date limite 30 juin 2026 | jusqu'au 30 juin 2026 || 2027-06-30: jusqu'au 30 juin 2027 | Jusqu'au 30 juin 2027"
"concours-femina-prix-venus-beaute-2026.mdx","2026-03-11","aucune date de fin explicite",""
"concours-futuroscope-xperiences-4-lots-maxi-mag-juin-2026.mdx","2026-06-04","aucune date de fin explicite",""
