slug,title,category,date,network,merchant,price,total,card,inline,header,optimizationPriority
3-nouvelles-box-beaute-moins-20-euros-sans-engagement,3 nouvelles box beauté à moins de 20 €,box-beaute,2026-06-04,Affilae,c3po.link,"19,90€",0,0,0,0,Améliorer la visibilité
adopt-calendrier-ete-7-parfums-brume-golden-kiss-5495-euros-mai-2026,"Adopt Calendrier de l'été : 7 parfums + brume à 38,46 € (-61%)",calendrier-avent,2026-07-17,Affilae,lb.affilae.com,"38,46€ au lieu de 98,60€ (-61%) — code -10% supplémentaire en cours",0,0,0,0,Améliorer la visibilité
aigostar-seche-cheveux-ionique-voyage-2400w-promo-amazon-2026,"Aigostar sèche-cheveux ionique 2400W à 17,99€ (-30%) : le bon plan voyage",bon-plan,2026-07-15,Amazon,Amazon,"17,99 €",0,0,0,0,Améliorer la visibilité
alpina-at4-84a-tondeuse-autoportee-5-8kw-84cm-amazon-promo-2026,"Alpina AT4 84 A tondeuse autoportée 5,8 kW 84 cm à 1 745 €",bon-plan,2026-06-28,Amazon,Amazon,1 745 €,0,0,0,0,Améliorer la visibilité
amazon-essence-lash-princess-mascara-promo-2026,"Mascara Essence Lash Princess à 4,19 € — Le Viral TikTok",bon-plan,2026-07-07,Amazon,Amazon,"4,19 €",0,0,0,0,Améliorer la visibilité
amazon-meilleur-baume-pectoral-bebe-2026,Meilleurs baumes pectoraux bébé : notre comparatif 2026,test-avis,2026-07-21,Amazon,Amazon,de 7 € à 12 € selon la marque,0,0,0,0,Améliorer la visibilité
amazon-meilleures-cremes-parfumees-corps-2026,"Top 5 Crèmes Parfumées Corps 2026 : Notre Sélection (dès 6,69€)",comparatif,2026-06-07,Amazon,Amazon,"dès 6,69€",0,0,0,0,Améliorer la visibilité
amazon-meilleures-huiles-a-barbe-2026,"Top 5 Huiles à Barbe 2026 : Notre Sélection (dès 7,42€)",comparatif,2026-06-07,Amazon,Amazon,"dès 7,42€",0,0,0,0,Améliorer la visibilité
amazon-meilleurs-parfums-bebe-2026,Top 4 Parfums Bébé 2026 : Notre Sélection Sans Alcool (dès 11€),beaute,2026-07-21,Amazon,Amazon,dès 11€,0,0,0,0,Améliorer la visibilité
amazon-meilleurs-parfums-diptyque-2026,Top 5 Parfums Diptyque 2026 : Notre Sélection (dès 33€),comparatif,2026-06-07,Amazon,Amazon,dès 33€,0,0,0,0,Améliorer la visibilité
amazon-meilleurs-parfums-mixtes-unisex-2026,"Top 5 Parfums Mixtes 2026 : Notre Sélection Unisex (dès 4,02€)",comparatif,2026-06-07,Amazon,Amazon,"dès 4,02€",0,0,0,0,Améliorer la visibilité
amazon-meilleurs-parfums-rose-2026,"Top 5 Parfums à la Rose 2026 : Notre Sélection (dès 4,89€)",comparatif,2026-06-07,Amazon,Amazon,"dès 4,89€",0,0,0,0,Améliorer la visibilité
amazon-meilleurs-soins-visage-pas-cher-2026,"Top 6 soins visage pas cher : CeraVe, La Roche-Posay, L'Oréal (dès 7 €)",bon-plan,2026-07-15,Amazon,Amazon,Dès 7 €,0,0,0,0,Améliorer la visibilité
amazon-spring-deals-dyson-airwrap-complete-promo-2026,Dyson Airwrap Complete à 499 € : le multistyler référence,bon-plan,2026-07-26,Amazon,Amazon,499 €,0,0,0,0,Améliorer la visibilité
amazon-spring-deals-foreo-luna-promo-2026,"FOREO Luna 4 go à 79,90 € au lieu de 149 € (-46 %)",bon-plan,2026-07-26,Amazon,Amazon,"79,90 € au lieu de 149 € (-46 %)",0,0,0,0,Améliorer la visibilité
amazon-spring-deals-kerastase-masque-promo-2026,"Masque Kérastase Chronologiste à 30,88 € au lieu de 49 € (-37 %)",bon-plan,2026-06-10,Amazon,Amazon,"30,88 €",0,0,0,0,Améliorer la visibilité
amazon-spring-deals-remington-seche-cheveux-promo-2026,"Remington Proluxe AC9140 sèche-cheveux pro 2400W à 34,99 €",bon-plan,2026-07-26,Amazon,Amazon,"34,99 €",0,0,0,0,Améliorer la visibilité
amazon-spring-deals-roborock-aspirateur-robot-promo-2026,Roborock Q7 Max à 149 € au lieu de 399 € (-63 %),bon-plan,2026-06-10,Amazon,Amazon,149 €,0,0,0,0,Améliorer la visibilité
amazon-top-maquillage-pas-cher-2026,"Top 6 maquillage pas cher : Maybelline, L'Oréal, NYX (dès 4 €)",bon-plan,2026-07-15,Amazon,Amazon,Dès 4 €,0,0,0,0,Améliorer la visibilité
amig-galair-01-ventilateur-pied-table-silencieux-amazon-juin-2026,"Ventilateur Amig GALAIR-01 silencieux 26 vitesses à 147,98 €",bon-plan,2026-06-24,Amazon,Amazon,"147,98 €",0,0,0,0,Améliorer la visibilité
aowoka-seche-cheveux-professionnel-ionique-160000-rpm-59-99-euros-amazon-moins-54-pourcent,"Aowoka sèche-cheveux professionnel : notre avis complet à 47,49 €",beaute,2026-07-10,Amazon,Amazon,"47,49€",0,0,0,0,Améliorer la visibilité
ariston-initio-chauffe-eau-electrique-500l-1389-euros,"Chauffe-eau Ariston INITIO 500 L à 1 389,99 €",bon-plan,2026-06-24,Amazon,Amazon,"1 389,99 €",0,0,0,0,Améliorer la visibilité
aspirateur-balai-sans-fil-dzaki-400w-45kpa-promo-amazon-2026,"Aspirateur balai sans fil Dzaki 400W 45 kPa à 99,99 €",bon-plan,2026-06-28,Amazon,Amazon,"99,99 €",0,0,0,0,Améliorer la visibilité
athena-lot-4-boxers-garcon-petit-prix-amazon-juin-2026,"Athena lot de 4 boxers garçon My Petit Prix à 8,70 € sur Amazon",bon-plan,2026-07-02,Amazon,Amazon,"8,70 €",0,0,0,0,Améliorer la visibilité
audible-bureau-affaires-occultes-livre-audio-gratuit-2026,Le Bureau des affaires occultes (Fouassier) — Livre audio gratuit Audible,bon-plan,2026-06-24,Amazon,Amazon,Gratuit,0,0,0,0,Améliorer la visibilité
